ID,Fname,Lname,birthday,gender,nationality,experience,matches,wins,losses,awards,position,height,weight,shirtNumber,CoachID
12239,Graeme,Pettengell,30/06/1968,Male,PS,18,455,391,31,1,C,194,75,16,6151
12240,Anni,Awty,21/06/1981,Female,PT,34,111,229,315,9,SF,205,62,30,3222
12241,Tanny,Gebbe,16/10/1970,Male,CM,7,697,104,59,6,PG,197,72,29,1840
12242,Clint,Simonsen,08/11/1962,Male,ID,9,213,78,250,1,PF,192,60,40,8780
12243,Marion,Timcke,11/09/1969,Male,PL,40,82,260,21,5,SG,199,89,38,16473
12244,Isidoro,Gomery,23/10/1989,Male,ID,15,694,336,441,6,PG,192,78,11,17996
12245,Bern,Lafond,22/09/1964,Male,JP,22,29,451,486,5,PF,187,74,1,4324
12246,Oswald,Chellam,26/08/1965,Male,MX,37,394,324,14,6,PF,193,87,35,2618
12247,Elvyn,Almack,15/10/1989,Male,CN,28,124,142,253,7,C,202,87,10,19626
12248,Nelli,Peascod,13/01/1974,Female,CN,4,986,273,368,2,PG,187,73,32,13163
12249,Pincas,Bazeley,20/11/1981,Male,RU,6,46,400,50,4,SF,209,81,24,1427
12250,Sorcha,Coronado,12/01/1964,Female,BR,10,194,188,157,7,SF,187,82,29,4998
12251,Murdock,Simoneton,12/01/1964,Male,CN,8,439,217,368,8,SF,194,74,36,2490
12252,Traver,Odcroft,23/10/1962,Male,PH,30,926,498,430,5,PF,201,74,16,17447
12253,Britney,Patifield,26/08/1969,Female,PH,36,839,255,445,3,PF,201,77,34,19333
12254,Rafe,Eunson,30/05/1974,Male,CN,16,921,462,414,10,PF,208,75,12,10984
12255,Annamarie,Avramovich,02/03/1983,Female,PH,29,266,356,465,6,PF,202,80,16,16321
12256,Harlin,Loton,20/05/1967,Male,CZ,17,366,43,23,3,SG,201,89,32,8573
12257,Cornell,Tukely,16/09/1976,Male,PL,5,761,324,119,7,PG,203,64,22,2379
12258,Claus,Lobbe,09/11/1968,Male,PT,19,283,96,375,1,C,208,85,11,3064
12259,Bennett,Craiker,17/12/1973,Male,YE,2,915,225,359,1,PF,192,67,34,7037
12260,Porter,Jenson,03/11/1978,Male,CN,3,414,230,196,3,PG,193,66,14,2634
12261,Cletis,Laherty,17/10/1987,Male,SV,9,389,441,389,3,PF,194,75,24,394
12262,Bonnee,O'Murtagh,01/05/1989,Female,SE,38,124,267,167,2,PG,193,85,40,3265
12263,Windy,Sabbatier,21/03/1985,Genderfluid,RU,34,964,128,410,5,PF,195,63,5,4036
12264,Blane,Dusting,09/10/1974,Male,JO,9,881,77,239,6,SG,193,76,28,16732
12265,Lodovico,Larne,29/03/1983,Male,ID,25,12,286,295,4,PG,210,68,7,3753
12266,Desmond,Streat,04/08/1982,Male,ET,24,358,238,349,7,C,191,77,15,14695
12267,Melissa,Selcraig,30/09/1981,Non-binary,CN,29,734,361,61,3,SF,196,82,2,5521
12268,Cull,Maseres,09/05/1974,Male,US,11,260,183,385,3,PF,206,78,10,7224
12269,Sherwynd,Ellinor,26/08/1966,Male,IE,7,552,120,188,7,SF,189,69,2,19617
12270,Wynn,Blakeman,25/04/1967,Male,CN,16,441,446,425,10,PF,205,86,34,3537
12271,Adriane,Fronsek,19/10/1964,Genderqueer,MN,14,489,312,286,9,SG,205,66,31,15937
12272,Evita,Beckey,26/02/1969,Female,VE,9,616,232,203,7,PG,205,86,5,16553
12273,Jay,Kubicki,29/04/1987,Male,CN,38,719,178,86,10,PF,197,83,4,18345
12274,Phaidra,Saltsberg,05/06/1962,Female,RU,31,208,305,285,5,SF,194,82,30,5976
12275,Thia,Klimczak,16/12/1962,Female,SE,3,34,220,137,7,C,206,76,5,11131
12276,Malinde,Shailer,09/05/1989,Female,PE,4,255,458,93,6,SF,190,62,38,14453
12277,Walden,Pygott,24/12/1964,Male,UA,8,676,350,255,5,PF,200,78,20,18085
12278,Nicki,De Caroli,09/12/1982,Female,UA,33,684,277,376,2,PG,195,81,27,7835
12279,Alden,Llewellen,25/12/1969,Male,JM,10,869,162,188,10,PG,199,71,40,9358
12280,Clari,Laterza,24/01/1985,Female,CZ,21,573,247,192,6,PG,198,83,3,8905
12281,Ervin,Huggard,25/01/1979,Male,AL,18,776,121,375,6,C,190,88,37,1690
12282,Sena,Roycroft,13/07/1984,Female,PT,10,884,225,389,10,SG,198,71,11,8123
12283,Colas,Caig,04/06/1973,Agender,GR,11,991,298,16,7,SG,205,84,20,6151
12284,Tania,Pringley,24/01/1969,Female,HR,23,829,49,46,3,C,195,73,13,345
12285,Nancie,Batrick,29/11/1962,Female,US,18,1000,347,429,1,SF,187,72,19,6503
12286,Babs,Heal,28/08/1981,Female,PH,19,220,350,194,2,SG,203,63,24,13068
12287,Bayard,Maidment,02/01/1980,Male,CN,34,310,394,321,9,SF,193,60,22,2282
12288,Heddi,Brotherwood,24/03/1970,Female,CN,18,584,61,182,9,SG,189,79,28,8526
12289,Livvie,Farnes,04/04/1982,Female,US,19,844,195,66,9,PF,198,81,28,13389
12290,Audie,Heinig,27/12/1972,Female,PT,24,762,96,478,3,SF,202,71,36,12325
12291,Olga,Fussell,13/06/1970,Female,US,24,551,306,440,2,PG,188,61,22,8819
12292,Allx,Philcott,12/09/1981,Female,NO,8,241,157,147,10,SG,191,73,15,19400
12293,Rab,Beaglehole,11/10/1964,Male,PT,6,568,462,177,6,SG,210,64,24,10563
12294,Rici,Couling,17/04/1962,Female,CN,12,613,413,178,8,SF,208,69,4,12678
12295,Lowrance,Jizhaki,22/11/1985,Male,ID,2,786,480,26,5,PF,204,60,18,17934
12296,Korie,Gellately,27/07/1974,Female,UA,1,746,137,334,3,PG,199,60,3,1398
12297,Del,Americi,18/11/1965,Female,CN,33,70,385,460,3,PF,192,60,20,6937
12298,Dorie,Garnam,28/09/1973,Female,PT,10,682,152,355,10,SF,193,69,8,14521
12299,Shannan,Maycock,15/04/1974,Male,ID,31,367,55,85,4,C,192,73,4,7706
12300,Katerine,Danielkiewicz,29/04/1982,Female,RU,29,584,372,106,7,SF,194,75,38,11866
12301,Jo-ann,Mongin,16/08/1970,Female,TN,26,840,40,194,7,SG,197,76,2,8645
12302,Stirling,Britton,07/05/1961,Male,FR,33,745,65,83,5,SF,204,64,12,16340
12303,Obadiah,Ciotti,10/03/1977,Male,PT,30,431,417,214,2,PF,198,64,31,5192
12304,Milka,Oganian,02/03/1972,Bigender,ES,35,991,231,409,1,PF,197,81,30,18892
12305,Raynell,Kelcey,22/01/1961,Female,CN,35,243,481,54,9,C,206,73,33,5828
12306,Colline,Aughton,12/04/1984,Female,PL,17,450,340,176,1,C,209,78,3,10286
12307,Raoul,Alleyne,25/01/1980,Male,ID,5,334,402,85,3,C,202,68,25,5555
12308,Gareth,MacEllen,15/10/1979,Polygender,CN,31,23,307,7,7,PG,198,66,22,10296
12309,Rafa,Dennert,06/07/1977,Female,MY,13,548,321,246,8,PF,209,88,37,12713
12310,Bellanca,Malafe,07/11/1962,Female,AR,6,405,325,97,5,PG,185,68,26,2865
12311,Loise,Staite,04/03/1988,Female,ID,7,737,393,233,6,PG,192,72,31,5327
12312,Raffarty,Stenet,02/10/1967,Male,GH,28,939,135,405,4,C,206,60,3,11427
12313,Magdalene,Perrat,05/08/1984,Female,CN,34,162,273,469,3,PG,201,88,31,4945
12314,Andeee,Landor,30/06/1979,Female,BR,10,353,81,135,7,SF,188,69,40,7978
12315,Charlotte,Boother,24/06/1967,Non-binary,LV,5,95,192,169,2,C,208,73,39,8170
12316,Ezekiel,Soanes,14/03/1960,Male,RU,7,116,267,126,4,PF,206,81,4,15938
12317,Baxie,Ringe,10/07/1976,Male,ID,13,34,110,40,1,PF,198,68,22,9399
12318,Lem,Merigon,29/03/1987,Male,MG,35,212,28,126,5,SG,207,64,9,3785
12319,Vernice,Weinberg,27/12/1982,Female,SE,24,887,371,191,6,SF,207,88,34,11285
12320,Garey,McKitterick,04/05/1967,Male,CN,29,544,360,107,2,SF,199,76,34,14238
12321,Coral,Parzis,03/07/1973,Non-binary,RU,14,751,477,421,5,PG,196,71,4,10728
12322,Amabelle,Ramshaw,03/02/1973,Female,PL,40,246,349,473,2,SG,195,89,12,13704
12323,Celinka,Le Surf,17/09/1981,Female,PA,24,214,55,321,9,PF,206,72,1,8528
12324,Corrinne,Lapley,05/07/1987,Female,BR,15,219,23,116,3,PG,189,73,20,6615
12325,Jodie,Mardy,20/10/1966,Female,PK,17,971,249,490,3,SF,190,87,5,14224
12326,Eileen,Tubbs,01/09/1988,Female,CZ,24,921,381,135,8,SG,197,89,11,4204
12327,Barbette,MacPike,11/07/1977,Female,ID,4,601,357,500,2,SG,200,74,13,19777
12328,Gunter,Ortner,02/04/1971,Male,ZA,5,242,228,499,10,PF,191,90,32,16869
12329,Zenia,Simons,15/02/1976,Female,ID,28,186,456,414,7,PF,191,73,12,19852
12330,Standford,Grzegorzewski,02/03/1988,Non-binary,CN,40,369,394,300,3,PG,192,81,21,17459
12331,Issiah,Scuffham,16/06/1967,Male,ID,17,246,256,465,1,PF,204,78,9,5492
12332,Kele,Simoneschi,22/08/1970,Male,RU,8,221,430,148,2,PG,203,81,27,7161
12333,Alister,Wegner,26/01/1979,Male,GH,38,687,144,40,3,C,197,71,4,8355
12334,Merralee,Antonietti,07/10/1987,Female,PL,38,682,4,439,5,PG,209,90,2,19077
12335,Troy,Di Gregorio,21/09/1967,Male,ID,28,480,179,62,8,SF,207,85,26,19454
12336,Loutitia,Canadine,31/07/1975,Female,CN,16,426,487,384,10,SG,199,83,39,1768
12337,Rochette,Yaknov,11/02/1970,Female,CU,22,518,125,295,8,SG,192,84,37,10219
12338,Huntington,Duinkerk,11/10/1975,Male,CN,36,864,387,299,2,C,188,90,40,2813
12339,Dacey,Hemphall,05/05/1977,Genderfluid,FR,11,951,168,114,9,SG,194,84,30,11814
12340,Lorant,Kemet,23/05/1969,Male,MX,27,671,265,430,8,SG,206,89,35,9737
12341,Robers,Beadnall,29/03/1974,Male,KR,15,443,430,179,1,PG,189,86,36,14064
12342,Farlee,Flounders,29/02/1960,Male,BR,38,713,111,117,4,PF,210,90,15,12119
12343,Killie,Pellissier,02/03/1973,Male,PY,7,700,329,298,2,SG,209,87,20,14954
12344,Ema,Reynoollds,26/03/1967,Female,BR,12,960,251,148,2,C,204,79,4,14612
12345,Inga,Bareham,07/03/1963,Female,CN,16,806,271,243,2,C,208,78,18,15660
12346,Wilie,Longina,09/04/1985,Female,FR,39,284,299,440,6,PF,189,75,29,13759
12347,Blanche,Luckings,22/04/1962,Female,CN,32,974,70,373,9,C,196,65,18,14696
12348,Ulrike,Walasik,18/04/1989,Female,CA,36,798,283,468,2,C,204,79,24,13883
12349,Norton,Eley,19/10/1960,Male,CA,32,317,91,371,7,SG,195,75,34,11500
12350,Webb,Cowerd,14/09/1987,Male,FR,21,239,9,47,9,SF,209,89,24,14231
12351,Wallie,Dysart,29/03/1983,Male,ES,19,949,406,379,8,SG,207,87,29,7103
12352,Kyle,Walch,13/06/1961,Female,CA,33,306,402,224,9,PG,186,74,8,5165
12353,Vera,Rodear,16/12/1965,Female,FI,38,234,82,332,2,SF,206,78,7,4407
12354,Howard,Galiford,06/02/1963,Polygender,FR,5,849,177,164,6,C,185,79,22,19168
12355,Evin,Conaghan,07/07/1987,Male,CN,27,606,104,182,1,PF,190,88,19,19768
12356,Kaila,Jursch,14/09/1969,Female,CN,3,509,208,202,10,C,197,69,38,13787
12357,Brietta,Azemar,27/04/1979,Agender,SE,14,27,109,358,7,PF,207,81,30,14230
12358,Reggie,Braidford,07/06/1989,Male,CO,12,370,214,443,3,C,205,66,11,1303
12359,Mara,Titheridge,23/08/1989,Genderfluid,BF,40,886,394,99,2,SG,190,71,26,8027
12360,Sherwynd,Aizkovitch,30/08/1967,Male,VN,35,458,431,212,8,SF,203,61,30,2709
12361,Laetitia,McArthur,06/02/1972,Genderfluid,BR,11,836,358,305,6,C,205,89,25,5225
12362,Cissiee,Train,02/01/1964,Female,SE,20,7,373,490,7,SG,205,78,34,9538
12363,Olenka,Borne,11/08/1987,Genderqueer,RU,17,834,216,491,2,C,210,65,28,7674
12364,Saul,Jaxon,01/08/1973,Non-binary,CN,7,998,287,256,8,PG,207,81,39,7406
12365,Ellyn,Parram,07/09/1968,Female,RS,30,444,446,18,7,SF,186,66,38,10784
12366,Tierney,Pinn,27/07/1969,Female,PL,4,477,321,328,8,SG,189,88,17,4051
12367,Arlin,Crosher,30/11/1979,Male,UA,24,485,145,329,9,C,202,84,7,946
12368,Barde,Frontczak,10/03/1968,Non-binary,JP,22,343,210,414,1,PG,200,69,22,6510
12369,Raddie,Cinavas,22/02/1967,Male,ID,18,264,446,369,3,PF,185,74,13,16345
12370,Melisse,Comino,15/03/1982,Female,JP,25,400,327,109,4,SF,209,68,14,19941
12371,Charisse,Kibard,30/06/1974,Female,PH,31,245,147,490,7,PG,197,61,23,4092
12372,Starla,Rains,23/11/1982,Female,CN,21,751,287,4,2,PG,193,62,12,11428
12373,Ian,Edgeon,23/10/1965,Male,TH,39,774,218,495,5,SG,208,66,27,16539
12374,Gwen,Phillpot,25/01/1971,Female,YE,12,720,200,249,6,PG,191,76,32,14496
12375,Alane,Postians,17/09/1973,Female,CL,8,621,140,185,10,PF,195,69,31,11424
12376,Carita,Myall,23/02/1963,Bigender,MD,7,323,3,315,4,PF,191,70,18,853
12377,Janith,Bithany,31/03/1988,Genderfluid,FI,27,875,170,405,7,PG,188,69,30,17463
12378,Lora,Burhouse,09/10/1986,Female,VN,5,861,24,454,3,PG,207,88,35,8094
12379,Preston,Culkin,03/06/1984,Male,CO,18,591,373,390,2,PG,198,77,9,19519
12380,Micah,Paullin,24/11/1977,Male,RU,40,1000,214,435,3,SG,186,65,19,19299
12381,Joel,Cowden,30/03/1960,Male,PH,3,609,118,299,9,PG,210,69,4,18402
12382,Geri,Turbard,14/05/1971,Female,IR,32,826,392,203,3,SF,199,60,5,8762
12383,Wendeline,Ghidelli,11/09/1988,Female,KZ,15,70,310,345,9,SF,210,63,3,12593
12384,Tomas,Stearnes,01/05/1983,Male,KE,1,303,14,133,9,C,204,85,31,11142
12385,Alix,MacAlees,08/09/1985,Female,ID,32,723,405,308,9,SF,196,75,6,15306
12386,Stephenie,Ballendine,09/06/1970,Agender,HT,28,451,60,439,3,PG,205,76,21,13914
12387,Batholomew,Sidlow,14/03/1961,Male,CN,33,254,77,179,7,SG,197,82,36,7865
12388,Milissent,Pellingar,12/08/1961,Female,SE,38,212,180,355,9,SF,209,81,33,9411
12389,Ysabel,Stuart,30/08/1971,Female,SE,17,844,69,237,5,SG,207,68,6,6001
12390,Filberte,Rook,15/05/1971,Male,ID,8,590,476,212,2,C,189,65,1,10419
12391,Leodora,Gonin,09/05/1982,Female,ID,13,345,319,488,10,C,189,88,35,17173
12392,Mychal,Baldocci,02/01/1963,Genderqueer,FI,35,705,281,164,2,PG,198,87,21,18357
12393,Alric,Yellop,10/07/1986,Male,LK,30,729,156,133,7,C,185,63,8,10804
12394,Witty,Dransfield,03/10/1960,Male,BA,27,950,174,356,5,PG,195,77,5,9389
12395,Pincus,Furst,03/12/1960,Male,IT,12,226,424,289,10,PG,197,79,7,509
12396,Valma,Catt,18/01/1969,Female,HN,4,424,461,349,9,SG,207,88,38,7624
12397,Rois,Dubose,12/11/1963,Female,RU,9,333,215,277,3,C,204,76,7,7156
12398,Noble,Thornley,08/10/1975,Male,ID,29,96,399,130,4,SG,202,65,17,19077
12399,Zeb,Dowderswell,02/10/1980,Male,CN,28,315,3,331,2,SF,201,85,22,19337
12400,Prent,Lasslett,27/02/1985,Male,EG,29,925,83,181,10,SF,209,87,20,19006
12401,Aloysia,Hallede,14/07/1986,Female,BR,40,371,382,382,10,SG,203,85,35,18657
12402,Mathian,Fuggle,12/02/1978,Male,BR,38,617,136,191,7,PF,206,79,36,19724
12403,Joni,Rowley,01/09/1970,Female,US,20,319,153,226,3,SF,205,79,18,12200
12404,Even,Snelling,19/12/1979,Male,UA,29,329,338,280,2,SF,201,87,24,18870
12405,Frank,Dilnot,04/12/1984,Male,RU,13,944,363,59,1,SF,189,70,26,15288
12406,Mia,Eakins,20/11/1973,Female,TH,18,608,192,393,8,SG,197,77,25,6805
12407,Dorian,Challiner,25/01/1975,Male,NI,1,738,449,341,4,SG,198,90,17,3242
12408,Waylan,McGreal,05/04/1962,Male,ID,16,983,12,74,4,SG,196,70,40,15290
12409,Jamal,Broker,14/06/1967,Male,IL,16,481,51,312,5,SG,185,73,3,19995
12410,Shalna,Blindermann,17/01/1984,Female,UA,11,162,176,86,7,SG,207,68,11,11443
12411,Ray,McCowen,12/04/1983,Female,TN,39,459,200,483,6,SF,205,60,31,13695
12412,Eimile,Sinnett,17/09/1966,Female,CN,5,740,363,468,2,PG,207,75,39,15622
12413,Roxy,Pietrowicz,05/10/1982,Female,CN,3,247,375,437,9,C,186,79,39,2
12414,Brantley,Dickman,07/08/1989,Male,PT,22,890,174,408,10,SG,192,60,20,15392
12415,Sylvan,Grieves,05/09/1965,Male,AZ,23,330,453,49,2,PG,203,75,22,10664
12416,Clarisse,Vaz,25/10/1984,Female,ID,3,458,88,66,10,PG,185,76,22,16943
12417,Alecia,Macci,05/04/1986,Female,BY,3,166,74,333,1,SG,187,85,18,10381
12418,Grethel,Arnault,19/12/1975,Female,BR,22,828,252,119,10,SF,201,79,20,7919
12419,Frederik,Crippes,02/05/1975,Agender,FI,31,98,487,393,6,SG,193,90,21,2557
12420,Pauly,Ferrarello,19/04/1981,Male,TN,40,71,281,82,4,PF,208,75,30,6977
12421,Heloise,Texton,10/08/1970,Female,CN,16,483,482,32,3,SG,210,81,33,15436
12422,Kelwin,Karim,05/05/1989,Non-binary,PT,8,991,474,432,2,C,189,69,7,7754
12423,Gonzalo,Mallabund,01/02/1963,Male,FR,36,845,255,65,1,SF,203,87,8,9387
12424,Irene,Rodd,11/05/1984,Female,RU,22,531,360,171,3,PG,193,73,21,15872
12425,Olivier,Giocannoni,01/02/1960,Male,ID,6,998,393,195,7,SF,200,76,30,5921
12426,Vale,Creber,31/08/1982,Female,PT,28,109,448,416,6,SG,194,64,40,12351
12427,Bailie,Pidgley,07/11/1985,Male,RU,11,600,59,53,6,SF,204,78,14,6885
12428,Leicester,Day,04/05/1971,Male,GT,28,638,422,140,5,SG,195,76,22,13106
12429,Tiphany,Fishbie,31/03/1972,Female,CN,33,668,335,49,10,PG,199,70,24,5801
12430,Wilow,Kolak,04/01/1982,Female,CO,4,922,136,24,9,PF,193,68,9,14385
12431,Daffy,Pheasant,26/01/1977,Female,US,28,889,325,327,10,PF,192,86,36,7879
12432,Vale,Offa,09/03/1987,Female,CN,19,47,265,86,9,C,190,65,5,10110
12433,Briant,Jacke,21/07/1968,Male,EG,15,603,203,304,3,SG,185,81,40,18897
12434,Peirce,Standish,26/04/1965,Male,RU,35,896,248,74,9,SF,208,83,14,6338
12435,Corrie,Sheere,25/03/1984,Female,PT,30,471,308,231,4,SG,191,76,34,16138
12436,Mattie,Diloway,22/10/1960,Male,BD,35,587,121,163,10,C,185,71,1,18802
12437,Jacinda,Prop,29/04/1979,Female,SE,26,117,312,258,1,C,188,65,9,15304
12438,Merv,Romaint,16/03/1983,Male,ZA,31,617,299,414,9,SF,202,81,28,6622
12439,Hollis,Tysall,03/06/1966,Male,HR,35,549,283,60,5,C,186,78,18,16697
12440,Kevyn,Sillito,28/07/1970,Female,CN,12,430,210,154,4,PF,194,65,27,8805
12441,Roosevelt,Jolin,20/09/1988,Genderqueer,PF,21,820,448,428,1,SF,192,67,14,9921
12442,Sarette,Robottom,10/01/1973,Non-binary,ID,22,736,209,342,5,C,186,67,34,17791
12443,Delaney,Wibrew,27/07/1978,Male,ID,22,781,57,378,1,SG,209,80,22,6313
12444,Leia,Seacombe,03/05/1962,Female,PH,23,306,491,419,2,SG,204,82,25,19996
12445,Nicol,Revington,13/12/1970,Male,PH,17,9,148,207,8,C,204,68,1,3577
12446,Morton,Barabisch,17/04/1960,Genderqueer,ID,30,256,483,243,6,SG,197,83,36,18925
12447,Valina,Lobell,06/06/1981,Female,ID,38,295,325,13,8,SG,199,62,7,19891
12448,Renie,Tschirschky,19/12/1966,Female,CN,2,967,445,140,10,SF,191,78,3,12054
12449,Robbie,Blyden,03/09/1982,Female,CN,35,331,173,145,9,C,195,75,11,14652
12450,Giff,Grimsley,15/07/1976,Male,MU,38,90,219,109,9,PF,194,85,37,1246
12451,Birgitta,Hazeley,06/04/1987,Female,ID,11,291,281,233,5,PF,200,85,20,3003
12452,Ines,Vasyutochkin,09/10/1980,Female,TH,38,797,394,324,7,PF,205,79,5,431
12453,Xena,O'Sculley,10/04/1984,Female,CY,38,846,31,136,5,PF,193,67,2,222
12454,Jerrie,Seaking,15/05/1970,Male,AR,15,694,161,76,4,PF,186,65,30,10625
12455,Bertie,Gagan,27/04/1976,Male,CN,28,961,82,101,3,C,208,63,2,3738
12456,Simon,Biner,11/11/1967,Male,ID,35,266,457,101,6,SF,194,72,30,14277
12457,Domingo,Mell,01/04/1986,Genderfluid,GH,9,988,357,202,5,SG,186,76,19,11732
12458,Gordon,Lackie,03/04/1967,Male,ID,31,267,292,424,1,SG,185,60,13,2968
12459,Farly,Senten,30/12/1965,Male,CN,40,168,264,161,3,SF,195,78,28,5127
12460,Kellen,Leedal,06/09/1964,Female,RU,7,831,387,178,6,PF,196,83,34,12391
12461,Marcile,Collerd,20/01/1980,Female,PH,15,451,470,432,5,C,189,87,26,18695
12462,Daphne,Ferro,11/08/1973,Female,SE,14,914,252,181,6,PG,191,83,5,7478
12463,Jacklin,Guarin,10/12/1975,Female,HR,17,2,118,481,4,PG,194,69,31,19855
12464,Belva,Maciaszek,23/06/1961,Female,CN,29,723,289,143,8,C,202,76,27,7303
12465,Romain,Lehon,30/06/1972,Male,GR,6,48,375,68,9,SG,191,89,39,5081
12466,Angus,Nowak,26/03/1971,Male,RU,24,371,133,479,10,C,190,78,10,8751
12467,Spenser,Cully,14/05/1967,Male,AR,12,308,376,403,4,SG,198,71,39,4530
12468,Ashely,Sudy,10/06/1960,Female,CN,36,903,374,366,6,PG,186,70,20,10388
12469,Courtney,Grancher,30/01/1977,Male,SE,22,300,36,2,6,SG,187,68,24,5590
12470,Terri-jo,McPharlain,03/06/1961,Female,HN,37,103,497,122,8,PF,208,80,19,12215
12471,Ross,Penner,11/09/1976,Male,BR,13,318,44,164,4,SG,193,90,22,1619
12472,Aguie,Breitling,13/04/1961,Male,NL,32,872,288,215,3,SF,191,84,32,17166
12473,Siouxie,Charrington,08/11/1982,Female,CN,34,986,235,288,1,C,209,70,38,7644
12474,Desiree,Naile,18/04/1974,Female,BR,9,811,86,383,7,PG,207,61,11,3779
12475,Verina,Habbon,27/01/1967,Female,PH,11,1000,68,404,8,PG,194,87,10,18745
12476,Zebulen,Hordell,24/06/1963,Male,CA,28,781,383,444,10,PF,207,86,2,10490
12477,Con,Domoni,07/11/1972,Male,CN,26,224,238,274,10,PG,189,61,18,6012
12478,Zuzana,Brager,24/02/1978,Female,FR,27,149,167,490,2,PF,210,63,36,6477
12479,Ofelia,Bruford,21/04/1975,Female,CD,21,570,124,241,9,C,191,85,40,10038
12480,Dud,Pennigar,13/06/1973,Male,BF,30,734,387,330,2,SF,208,64,25,13359
12481,Kellina,Yellop,28/01/1967,Female,ID,38,129,359,498,4,PG,197,67,20,12782
12482,Clark,Killbey,17/06/1961,Male,ID,26,637,413,210,3,PF,193,89,36,10775
12483,Jeffry,Scapens,06/06/1988,Male,UA,34,568,123,339,1,SF,187,63,25,961
12484,Juliette,Stirling,02/11/1986,Female,US,35,742,360,276,2,C,200,72,28,5982
12485,Jory,Week,15/03/1986,Male,ZA,38,910,100,419,5,SF,200,83,31,14136
12486,Rosaleen,Stebbin,20/07/1976,Female,FR,12,196,198,420,2,SF,201,90,4,9767
12487,Basile,Damarell,21/07/1973,Male,CN,27,468,395,223,3,SG,190,90,15,7309
12488,Sheilah,Larham,31/10/1970,Polygender,RS,30,900,176,144,3,PF,195,75,37,7139
12489,Gerda,Tompion,11/08/1973,Female,SE,34,283,164,233,8,SG,198,62,40,13234
12490,Thadeus,Aylmore,08/08/1979,Male,LT,1,48,287,71,3,SG,188,75,18,2582
12491,Gareth,Epdell,26/03/1984,Male,AR,38,570,450,466,8,PG,209,86,9,3410
12492,Allistir,Dahill,09/08/1976,Male,ZA,7,429,25,447,2,C,199,77,14,4387
12493,Brendan,Swadlin,04/12/1988,Male,ID,40,18,53,24,5,SF,185,66,10,16273
12494,Blair,Caghy,28/05/1961,Male,GR,24,976,225,491,9,C,207,71,19,10629
12495,Noell,Coghlin,26/08/1982,Female,ET,26,732,303,301,4,SG,202,84,31,12771
12496,Patin,Urwen,10/08/1961,Male,CN,14,39,149,476,3,PF,192,74,9,1176
12497,Garald,Ryan,25/04/1965,Male,ID,17,368,168,266,2,PF,191,82,20,17537
12498,Bria,Ensor,16/04/1966,Female,CD,37,896,380,122,7,C,192,75,4,45
12499,Joelynn,Beenham,16/09/1980,Female,SE,40,666,317,285,3,SF,208,75,4,13482
12500,Dyna,Cowser,25/08/1973,Female,TH,33,558,454,82,8,C,204,86,18,12842
12501,Marnie,Brisse,31/08/1977,Female,JP,17,650,16,71,10,SG,188,77,11,17845
12502,Hasty,Mashal,25/11/1974,Male,TH,33,428,35,489,10,SG,202,84,3,6445
12503,Eric,Bruno,13/01/1977,Male,JO,1,601,245,222,1,PG,190,71,34,19687
12504,Glyn,Tarrant,20/01/1977,Female,CN,25,615,449,251,4,SF,207,61,19,5968
12505,Sven,Drover,26/10/1978,Agender,MX,27,610,57,360,1,PF,207,70,38,5351
12506,Sutherland,Hanscom,19/07/1978,Male,CN,38,12,157,220,9,PF,186,83,15,12964
12507,Violante,Philpault,02/08/1986,Female,FR,19,2,388,247,10,SF,197,82,3,4338
12508,Jackqueline,Pods,27/09/1986,Female,US,5,129,293,179,3,SF,207,70,25,4510
12509,Bernadene,Tavner,29/11/1986,Female,ID,27,105,150,406,7,SF,190,68,40,9958
12510,Agustin,Durn,11/10/1964,Male,BR,33,733,368,473,9,PG,209,70,35,1500
12511,Richmond,Whittam,14/11/1976,Male,SE,10,723,29,54,4,SF,205,70,35,13381
12512,Milty,Ashlee,17/12/1973,Male,CN,15,43,164,451,8,PG,199,86,28,11148
12513,Torey,Rickesies,18/02/1966,Male,MD,30,585,238,285,7,PF,187,86,36,10183
12514,Rona,Tisor,21/01/1976,Female,RU,1,869,147,418,1,SF,209,79,28,13402
12515,Shandy,Pudge,04/11/1969,Female,CN,5,917,394,353,8,C,206,72,17,6951
12516,Deina,Lottrington,03/11/1971,Female,RU,34,256,313,293,9,SF,185,71,33,16226
12517,Michel,Lacroux,02/09/1988,Male,TG,13,892,171,182,3,PG,196,81,18,16264
12518,Erastus,Hallowell,10/06/1985,Male,ID,16,486,402,222,2,SG,205,78,14,18487
12519,Germain,Ablott,13/03/1983,Male,MN,21,576,242,279,2,C,197,66,3,10174
12520,Stacie,Casel,10/08/1974,Female,BR,32,478,426,166,3,PG,203,74,38,8827
12521,Catherine,Bauer,02/02/1984,Female,AF,37,332,49,244,9,SG,191,68,35,17239
12522,Carol,Rabjohn,26/06/1960,Female,CA,11,955,107,39,6,PG,190,64,40,12926
12523,Noel,Massie,16/05/1981,Female,YE,11,992,15,49,3,PF,199,65,2,3362
12524,Ileane,Ackerman,25/01/1989,Female,JP,40,483,89,290,4,SG,202,65,35,18849
12525,Lyn,Kuhl,10/11/1986,Female,HT,34,491,171,243,5,PG,203,73,13,182
12526,Kristian,McGillivrie,27/03/1978,Male,DO,11,147,470,272,6,SF,186,88,19,3826
12527,Regen,Philippart,22/04/1989,Male,TG,9,564,302,291,3,PF,206,71,1,4130
